ID_TYPE_ENTITE	ID_ENTITE 	NOM_COURRIER                                                                              	ID_STATUT_SURV
S             	      1095	AXA INVESTMENT MANAGERS LUXEMBOURG S.A.                                                   	C16           
S             	      1096	APAX MANAGEMENT LUXEMBOURG S.A R.L.                                                       	C16           
S             	      1097	BC PARTNERS MANAGEMENT S.À R.L.                                                           	C16           
S             	      1098	PALLADIO (LUXEMBOURG) S.À R.L.                                                            	C16           
S             	      1099	BRIDGEPOINT FUND MANAGEMENT S.À R.L.                                                      	C16           
S             	      1100	BLUEGEM CAPITAL (LUXEMBOURG) S.À R.L.                                                     	C16           
S             	      1101	INTERVEST CAPITAL PARTNERS S.à R.L.                                                       	C16           
S             	      1102	FIFE CAPITAL MANAGEMENT EUROPE S.À R.L.                                                   	C16           
S             	      1103	CINVEN FUND MANAGEMENT S.À R.L.                                                           	C16           
S             	      1104	HF ARODE ASSET MANAGEMENT S.A.                                                            	C15           
S             	      1105	THREE HILLS FUND MANAGEMENT S.À R.L.                                                      	C16           
S             	      1106	FINANCE IN MOTION ASSET MANAGEMENT S.À R.L.                                               	C16           
S             	      1107	GCP EUROPE MANAGEMENT S.À R.L.                                                            	C16           
S             	      1108	MANOVA PARTNERS LUX S.À R.L.                                                              	C16           
S             	      1109	VISTRA FUND MANAGEMENT S.A.                                                               	C15           
S             	      1110	RENAISSANCE AIFM S.À R.L.                                                                 	C16           
S             	      1111	TRISTAN CAPITAL MANAGEMENT COMPANY S.À R.L.                                               	C16           
S             	      8001	CANDRIAM SUCURSAL EN ESPAÑA                                                               	SUC           
S             	      8002	CANDRIAM - SUCCURSALE ITALIANA                                                            	SUC           
S             	      8003	CANDRIAM - NEDERLANDS BIJKANTOOR                                                          	SUC           
S             	      8007	JPMORGAN ASSET MANAGEMENT (EUROPE) S. à R.L. – SUCCURSALE DI MILANO                       	SUC           
S             	      8008	JPMORGAN ASSET MANAGEMENT (NORDIC) FILIAL TILL JPMORGAN ASSET MANAGEMENT (EUROPE) SARL    	SUC           
S             	      8009	JPMORGAN ASSET MANAGEMENT (EUROPE) SARL, AUSTRIAN BRANCH                                  	SUC           
S             	      8010	JPMORGAN ASSET MANAGEMENT (EUROPE) SARL, THE NEDERLANDS BRANCH                            	SUC           
S             	      8011	JPMORGAN ASSET MANAGEMENT (EUROPE) SARL, FRANKFURT BRANCH                                 	SUC           
S             	      8013	JPMORGAN ASSET MANAGEMENT (EUROPE) S.A.R.L., SUCCURSALE DE PARIS                          	SUC           
S             	      8014	JPMORGAN ASSET MANAGEMENT (EUROPE) S.A.R.L., SUCURSAL EN ESPAÑA                           	SUC           
S             	      8015	CANDRIAM ZWEIGNIEDERLASSUNG DEUTSCHLAND                                                   	SUC           
S             	      8024	ASSENAGON ASSET MANAGEMENT S.A., ZWEIGNIEDERLASSUNG MÜNCHEN                               	SUC           
S             	      8027	UNIVERSAL-INVESTMENT-LUXEMBOURG S.A., ZWEIGNIEDERLASSUNG FRANKFURT AM MAIN                	SUC           
S             	      8029	GAM (LUXEMBOURG) S.A. - SUCURSAL EN ESPANA                                                	SUC           
S             	      8039	SWISSCANTO ASSET MANAGEMENT INTERNATIONAL S.A., ZWEIGNIEDERLASSUNG DEUTSCHLAND            	SUC           
S             	      8041	CANDRIAM - UK ESTABLISHMENT                                                               	SUC           
S             	      8045	SCHRODER INVESTMENT MANAGEMENT (EUROPE) S.A., BELGIAN BRANCH                              	SUC           
S             	      8047	SCHRODER INVESTMENT MANAGEMENT (EUROPE) S. A., SVENSK FILIAL                              	SUC           
S             	      8048	SCHRODERS DENMARK FILIAL AV SCHRODER INVESTMENT MANAGEMENT (EUROPE) S.A.                  	SUC           
S             	      8049	SCHRODERS NEDERLANDS BRANCH OF SCHRODER INVESTMENT MANAGEMENT (EUROPE) S.A.               	SUC           
S             	      8053	FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A R.L., BELGIAN BRANCH                        	SUC           
S             	      8054	NORDEA INVESTMENT FUNDS S.A. - ITALIAN BRANCH                                             	SUC           
S             	      8055	NORDEA INVESTMENT FUNDS S.A., SUCURSAL EN ESPANA                                          	SUC           
S             	      8057	NS PARTNERS EUROPE S.A., SUCURSAL EN ESPAÑA                                               	SUC           
S             	      8058	NS PARTNERS EUROPE S.A., SUCCURSALE DI MILANO                                             	SUC           
S             	      8059	ID-SPARINVEST, BRANCH OF SPARINVEST S.A., LUXEMBOURG                                      	SUC           
S             	      8060	SWANCAP INVESTMENT MANAGEMENT S.A., SUCCURSALE IN ITALIA                                  	SUC           
S             	      8061	INTER FUND MANAGEMENT S.A., BELGIAN BRANCH                                                	SUC           
S             	      8062	MASSENA PARTNERS, SUCCURSALE DE PARIS                                                     	SUC           
